Time (CET/CEST),BZN|IE(SEM) > BZN|GB [MW],BZN|GB > BZN|IE(SEM) [MW]
14.01.2022 10:00 - 14.01.2022 11:00,699,0
14.01.2022 11:00 - 14.01.2022 12:00,733,0
14.01.2022 12:00 - 14.01.2022 13:00,735,0
14.01.2022 13:00 - 14.01.2022 14:00,664,0
14.01.2022 14:00 - 14.01.2022 15:00,749,0
14.01.2022 15:00 - 14.01.2022 16:00,797,0
14.01.2022 16:00 - 14.01.2022 17:00,773,0
14.01.2022 17:00 - 14.01.2022 18:00,763,0
14.01.2022 18:00 - 14.01.2022 19:00,621,0
14.01.2022 19:00 - 14.01.2022 20:00,516,0
14.01.2022 20:00 - 14.01.2022 21:00,549,0
14.01.2022 21:00 - 14.01.2022 22:00,596,0
14.01.2022 22:00 - 14.01.2022 23:00,646,0
14.01.2022 23:00 - 15.01.2022 00:00,443,0
15.01.2022 00:00 - 15.01.2022 01:00,115,55
15.01.2022 01:00 - 15.01.2022 02:00,18,121
15.01.2022 02:00 - 15.01.2022 03:00,55,35
15.01.2022 03:00 - 15.01.2022 04:00,36,39
15.01.2022 04:00 - 15.01.2022 05:00,11,33
15.01.2022 05:00 - 15.01.2022 06:00,0,82
15.01.2022 06:00 - 15.01.2022 07:00,0,49
15.01.2022 07:00 - 15.01.2022 08:00,0,17
15.01.2022 08:00 - 15.01.2022 09:00,7,16
15.01.2022 09:00 - 15.01.2022 10:00,219,0
15.01.2022 10:00 - 15.01.2022 11:00,325,0
15.01.2022 11:00 - 15.01.2022 12:00,362,0
15.01.2022 12:00 - 15.01.2022 13:00,321,0
15.01.2022 13:00 - 15.01.2022 14:00,243,0
15.01.2022 14:00 - 15.01.2022 15:00,204,0
15.01.2022 15:00 - 15.01.2022 16:00,91,0
15.01.2022 16:00 - 15.01.2022 17:00,66,0
15.01.2022 17:00 - 15.01.2022 18:00,174,0
15.01.2022 18:00 - 15.01.2022 19:00,190,0
15.01.2022 19:00 - 15.01.2022 20:00,54,0
15.01.2022 20:00 - 15.01.2022 21:00,118,0
15.01.2022 21:00 - 15.01.2022 22:00,184,0
15.01.2022 22:00 - 15.01.2022 23:00,171,6
15.01.2022 23:00 - 16.01.2022 00:00,124,145
16.01.2022 00:00 - 16.01.2022 01:00,0,211
16.01.2022 01:00 - 16.01.2022 02:00,0,165
16.01.2022 02:00 - 16.01.2022 03:00,49,8
16.01.2022 03:00 - 16.01.2022 04:00,162,0
16.01.2022 04:00 - 16.01.2022 05:00,212,0
16.01.2022 05:00 - 16.01.2022 06:00,185,0
16.01.2022 06:00 - 16.01.2022 07:00,392,0
16.01.2022 07:00 - 16.01.2022 08:00,592,0
16.01.2022 08:00 - 16.01.2022 09:00,643,0
16.01.2022 09:00 - 16.01.2022 10:00,683,0
16.01.2022 10:00 - 16.01.2022 11:00,660,0
16.01.2022 11:00 - 16.01.2022 12:00,447,0
16.01.2022 12:00 - 16.01.2022 13:00,249,0
16.01.2022 13:00 - 16.01.2022 14:00,218,0
16.01.2022 14:00 - 16.01.2022 15:00,167,0
16.01.2022 15:00 - 16.01.2022 16:00,0,67
16.01.2022 16:00 - 16.01.2022 17:00,8,56
16.01.2022 17:00 - 16.01.2022 18:00,26,59
16.01.2022 18:00 - 16.01.2022 19:00,57,26
16.01.2022 19:00 - 16.01.2022 20:00,1,34
16.01.2022 20:00 - 16.01.2022 21:00,31,52
16.01.2022 21:00 - 16.01.2022 22:00,8,85
16.01.2022 22:00 - 16.01.2022 23:00,13,75
16.01.2022 23:00 - 17.01.2022 00:00,0,355
17.01.2022 00:00 - 17.01.2022 01:00,0,714
17.01.2022 01:00 - 17.01.2022 02:00,0,459
17.01.2022 02:00 - 17.01.2022 03:00,0,337
17.01.2022 03:00 - 17.01.2022 04:00,0,331
17.01.2022 04:00 - 17.01.2022 05:00,0,343
17.01.2022 05:00 - 17.01.2022 06:00,0,343
17.01.2022 06:00 - 17.01.2022 07:00,0,317
17.01.2022 07:00 - 17.01.2022 08:00,0,99
17.01.2022 08:00 - 17.01.2022 09:00,172,0
17.01.2022 09:00 - 17.01.2022 10:00,264,0
17.01.2022 10:00 - 17.01.2022 11:00,259,0
17.01.2022 11:00 - 17.01.2022 12:00,264,0
17.01.2022 12:00 - 17.01.2022 13:00,335,0
17.01.2022 13:00 - 17.01.2022 14:00,225,0
17.01.2022 14:00 - 17.01.2022 15:00,347,0
17.01.2022 15:00 - 17.01.2022 16:00,395,0
17.01.2022 16:00 - 17.01.2022 17:00,565,0
17.01.2022 17:00 - 17.01.2022 18:00,735,0
17.01.2022 18:00 - 17.01.2022 19:00,735,0
17.01.2022 19:00 - 17.01.2022 20:00,651,0
17.01.2022 20:00 - 17.01.2022 21:00,764,0
17.01.2022 21:00 - 17.01.2022 22:00,860,0
17.01.2022 22:00 - 17.01.2022 23:00,806,0
17.01.2022 23:00 - 18.01.2022 00:00,695,0
18.01.2022 00:00 - 18.01.2022 01:00,410,0
18.01.2022 01:00 - 18.01.2022 02:00,222,0
18.01.2022 02:00 - 18.01.2022 03:00,447,0
18.01.2022 03:00 - 18.01.2022 04:00,444,0
18.01.2022 04:00 - 18.01.2022 05:00,638,0
18.01.2022 05:00 - 18.01.2022 06:00,657,0
18.01.2022 06:00 - 18.01.2022 07:00,819,0
