"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO2","02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","844","","371","7673","n/e","n/e","n/e","n/e","n/e","5","n/e","310"
"BZN|NO2","02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","783","","373","7442","n/e","n/e","n/e","n/e","n/e","5","n/e","371"
"BZN|NO2","02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","767","","375","7283","n/e","n/e","n/e","n/e","n/e","5","n/e","421"
"BZN|NO2","02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","763","","375","7273","n/e","n/e","n/e","n/e","n/e","5","n/e","413"
"BZN|NO2","02.01.2021 22:00 - 02.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","728","","376","7004","n/e","n/e","n/e","n/e","n/e","6","n/e","414"
"BZN|NO2","02.01.2021 23:00 - 03.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","623","","371","6857","n/e","n/e","n/e","n/e","n/e","6","n/e","458"
"BZN|NO2","03.01.2021 00:00 - 03.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","614","","366","6608","n/e","n/e","n/e","n/e","n/e","6","n/e","490"
"BZN|NO2","03.01.2021 01:00 - 03.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","599","","363","5711","n/e","n/e","n/e","n/e","n/e","6","n/e","434"
"BZN|NO2","03.01.2021 02:00 - 03.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","341","","364","5384","n/e","n/e","n/e","n/e","n/e","6","n/e","422"
"BZN|NO2","03.01.2021 03:00 - 03.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","341","","366","5342","n/e","n/e","n/e","n/e","n/e","6","n/e","474"
"BZN|NO2","03.01.2021 04:00 - 03.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","344","","366","5390","n/e","n/e","n/e","n/e","n/e","6","n/e","427"
"BZN|NO2","03.01.2021 05:00 - 03.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","344","","365","5438","n/e","n/e","n/e","n/e","n/e","6","n/e","424"
"BZN|NO2","03.01.2021 06:00 - 03.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","340","","366","5498","n/e","n/e","n/e","n/e","n/e","6","n/e","473"
"BZN|NO2","03.01.2021 07:00 - 03.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","410","","371","6013","n/e","n/e","n/e","n/e","n/e","6","n/e","455"
"BZN|NO2","03.01.2021 08:00 - 03.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","560","","380","6348","n/e","n/e","n/e","n/e","n/e","6","n/e","492"
"BZN|NO2","03.01.2021 09:00 - 03.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","637","","368","6583","n/e","n/e","n/e","n/e","n/e","5","n/e","510"
"BZN|NO2","03.01.2021 10:00 - 03.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","540","","366","6863","n/e","n/e","n/e","n/e","n/e","5","n/e","494"
"BZN|NO2","03.01.2021 11:00 - 03.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","549","","368","6920","n/e","n/e","n/e","n/e","n/e","5","n/e","454"
"BZN|NO2","03.01.2021 12:00 - 03.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","541","","372","6779","n/e","n/e","n/e","n/e","n/e","6","n/e","451"
"BZN|NO2","03.01.2021 13:00 - 03.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","501","","376","6660","n/e","n/e","n/e","n/e","n/e","6","n/e","414"
"BZN|NO2","03.01.2021 14:00 - 03.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","516","","375","6735","n/e","n/e","n/e","n/e","n/e","6","n/e","337"
"BZN|NO2","03.01.2021 15:00 - 03.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","567","","376","7039","n/e","n/e","n/e","n/e","n/e","6","n/e","248"
"BZN|NO2","03.01.2021 16:00 - 03.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","749","","375","7473","n/e","n/e","n/e","n/e","n/e","5","n/e","228"
"BZN|NO2","03.01.2021 17:00 - 03.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","783","","376","7515","n/e","n/e","n/e","n/e","n/e","5","n/e","220"
"BZN|NO2","03.01.2021 18:00 - 03.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","767","","369","7382","n/e","n/e","n/e","n/e","n/e","5","n/e","205"
"BZN|NO2","03.01.2021 19:00 - 03.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","773","","372","7245","n/e","n/e","n/e","n/e","n/e","5","n/e","129"
"BZN|NO2","03.01.2021 20:00 - 03.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","764","","372","6969","n/e","n/e","n/e","n/e","n/e","5","n/e","117"
"BZN|NO2","03.01.2021 21:00 - 03.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","757","","373","6883","n/e","n/e","n/e","n/e","n/e","5","n/e","134"
"BZN|NO2","03.01.2021 22:00 - 03.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","589","","373","6714","n/e","n/e","n/e","n/e","n/e","6","n/e","186"
"BZN|NO2","03.01.2021 23:00 - 04.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","394","","370","6010","n/e","n/e","n/e","n/e","n/e","6","n/e","215"
"BZN|NO2","04.01.2021 00:00 - 04.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","267","","360","5282","n/e","n/e","n/e","n/e","n/e","6","n/e","183"
"BZN|NO2","04.01.2021 01:00 - 04.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","135","","360","5046","n/e","n/e","n/e","n/e","n/e","6","n/e","153"
"BZN|NO2","04.01.2021 02:00 - 04.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","110","","364","4939","n/e","n/e","n/e","n/e","n/e","6","n/e","141"
"BZN|NO2","04.01.2021 03:00 - 04.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","136","","364","5052","n/e","n/e","n/e","n/e","n/e","6","n/e","85"
